ID,X,Y,R
FIDUCIAL1,8.5,2,0
FIDUCIAL2,5.5,24,0
FIDUCIAL3,30,24,0
C1,29,15,270
C2,26.5,15,270
C3,14,15,270
C4,11.5,15,270
C5,9,15,90
C6,6.5,15,90
H1,17.75,21.75,180
H2,4.25,4.25,90
H3,31.25,4.25,270
R1,24,15,270
R2,21.5,15,90
R3,19,15,90
R4,16.5,15,90
U1,17.75,10,0
