Reference,Quantity,Description,Manufacturer,Part Number,Digi-Key P/N
C1,1,CAP CER 10UF 25V X5R 0805,Taiyo Yuden,TMK212BBJ106KG-T,587-2668-1-ND
C2 C3 C4 C5 C6,5,CAP CER 2.2UF 10V X7R 0805,Samsung,CL21B225KPFNNNE,1276-1188-1-ND
H1,1,".100"" Flex Stack, High-Temp Flexible Board Stacker, Surface Mount",Samtec,HW-07-16-T-S-270-SM,N/A
H2 H3,2,".100"" Flex Stack, High-Temp Flexible Board Stacker, Surface Mount",Samtec,HW-03-16-T-S-270-SM,N/A
R1,1,RES SMD 390K OHM 1% 1/8W 0805,Yageo,RC0805FR-07390KL,311-390KCRCT-ND
R2 R3 R4,3,RES SMD 10K OHM 1% 1/8W 0805,Yageo,RC0805FR-0710KL,311-10.0KCRCT-ND
U1,1,"DISPLAY OLED 128X64 1.3"" BLUE",WiseChip,UG-2864KSWLG03,N/A
